 报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,--,0,--,0,--,0,--,--, 
 客户存款和同业存放款项净增加额(万元),9880300,10473000,10041100,5955000,9419200,--,--,--,27652600,11698800,10885000,11521200,10199800,21825100,29335800,7583300,24739200,20733700,22644400,21108100,29813300,28024000,20168200,22115900,34892800,23937200,26087700,14971200,4539000,3770600,3011800,1160900,3132200,1819900,1564500,1308900,4671000,3806300,3115300,900500,2169000,843600,--,59000,947600,-2100,-265300,0,1215700,9200, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,--,0,--,0,--,0,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,--,9800,--,81600,--,0,--,--, 
 收到原保险合同保费取得的现金(万元),71202000,52482300,36931400,21422800,60496900,42788400,30496400,17243200,49393900,33548300,23428100,13235700,39226600,27477600,18993200,10678000,32801200,23800900,16692500,9637000,26820300,19775400,13775100,7680300,23104500,17389700,12278900,7148800,20414700,15546800,11212500,6640300,15877700,11828900,8210800,4557200,11309300,13324800,9107400,4740400,12861600,9656500,6536500,3272700,10090100,7413900,5091800,0,8362600,4156700, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,-14300,--,0,--,3700,--,-32100,-8800,0,--,3200, 
 保户储金及投资款净增加额(万元),5693600,5066800,4229800,2989200,5089200,4232600,3168500,1821500,4612100,3627100,2714400,1355200,3285800,2395600,1762300,784900,2098500,2250700,1493800,671700,3175800,2878200,2066000,987500,3380300,2831200,1940500,805300,3602900,2953500,2307300,1110500,4467400,4086100,2993600,1421300,4230800,51200,72800,56100,208300,188200,185500,23700,--,113100,89600,0,--,34200, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,0,--,0,--,0,--,0,--,0,--,--, 
 收取利息、手续费及佣金的现金(万元),20611200,14951700,10405400,5026400,17548000,12346500,7963800,3840700,14369800,10940200,7629600,3539900,14567200,10803900,7504200,3534700,11871700,8440800,5558000,2562900,8707600,6359900,4079600,1815000,7104600,5339400,3581000,1716700,3675600,2279100,857400,386700,1296700,900900,613800,300000,836600,600900,350100,165200,762100,682500,401800,233000,667800,472900,307300,0,34600,23800, 
 拆入资金净增加额(万元),626200,1787200,101000,--,--,--,--,--,3129700,--,--,--,--,--,494000,--,--,--,--,--,2291100,1748400,1290200,304800,--,--,--,--,1723100,8900,0,--,26400,--,--,0,480300,334100,248700,37200,69400,-10700,-4700,0,--,98400,137000,0,--,--, 
 回购业务资金净增加额(万元),794000,106000,1063200,571700,--,348100,3698200,--,409300,--,--,--,--,--,--,593400,--,--,--,--,--,--,4607000,1644500,960300,--,--,--,547400,1052900,324800,1186800,571900,217600,--,0,1336900,967200,1246900,105900,--,0,--,0,--,0,--,0,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,0,10500,0,--,0,--,0,--,0,--,--, 
 收到的其他与经营活动有关的现金(万元),12438800,6973300,6201800,4295600,12110400,7417300,4016400,3112900,10300300,4376600,3840600,1717100,6861700,3399400,2007500,355600,2615800,3331500,2275200,1041600,2039200,2308300,1354300,161000,776900,599200,298700,78800,243700,308500,182300,42900,609600,245900,215500,35600,1039100,446100,254000,191300,336200,439700,242200,161200,143800,1040000,799300,403200,11800,137000, 
 经营活动现金流入小计(万元),139876700,104235000,77421200,48043400,117657300,79537900,58050400,27214100,116996200,69722000,55095800,33302900,84672500,74438700,67374100,29880300,83522300,62567800,50684000,35066000,72977900,61456600,47680700,34806000,87970000,59782900,51444600,26446800,44981100,32086700,17896100,10528100,26414000,19589700,13781600,7623000,23904000,19081200,14481900,6182300,17063100,11799800,7361300,3763100,11849300,9104100,6150900,3707300,9624700,4432200, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,0,--,0,--,0,--,0,--,--, 
 客户贷款及垫款净增加额(万元),34275900,24759900,16132600,7921600,26498800,19447800,12483300,7895600,30515900,23750200,15801700,5680500,22570400,20910500,17437300,10073800,18397300,15374700,9478100,4456500,13546700,11183800,6649000,3642900,10096900,8508000,6236600,3036500,4048300,2792500,1266500,736900,2409700,1896800,1371800,740600,3512700,3467400,3144200,1682500,1125500,1161800,769500,399800,1388500,1938300,919600,0,158400,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,3748700,5375400,4406200,2431300,4663500,5922000,1680700,--,547200,817900,--,--,7021500,5695400,5134100,5773600,1827100,2410100,1800700,987700,5774500,4980000,4774300,1613100,3518100,1626800,438900,56800,61500,--,--,1050600,1516400,1330900,356400,375800,--,193000,214200,0,822000,362700,157700,0,--,500, 
 支付原保险合同赔付款项的现金(万元),19845000,14791500,10083300,5823300,15335200,11133400,7425800,3799400,13429800,9932600,6694100,3455000,11252600,8220900,5335300,2677300,9704400,7118900,4733900,2318200,8572600,6209700,4040000,2013600,7581000,5484200,3565200,1726300,5423400,3858200,2537000,1181600,3750000,2635200,1693700,823400,3179500,2390200,1510800,770100,3468400,2634500,1700900,849400,2594000,1725200,1136600,0,1729100,753500, 
 支付利息、手续费及佣金的现金(万元),21395600,15473000,9977800,4930600,16789400,12576500,8187000,3960400,11675900,9245400,6082300,2867800,10617300,8111800,5734200,3029400,9283600,6790900,4504800,2267800,7008000,5128100,3339900,1558000,6013700,4500000,3133200,1527800,3576400,2170800,1194100,643700,1747100,1192600,858500,454300,1386900,1625200,1099300,540600,1709900,1253200,827600,400800,1281600,938900,603500,0,781300,374600, 
 支付保单红利的现金(万元),1117100,888900,691200,516300,818700,648500,497300,360800,633600,498100,376200,255700,512500,415700,311900,169800,332500,208600,134400,86400,254600,192200,132300,88700,281000,215800,150400,104900,177200,120000,71700,50500,97900,115400,72400,12000,126400,96600,95100,41800,147200,88000,53300,23800,61500,39100,23200,0,24400,10000, 
