报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2007-06-30,2006-12-31,
营业总收入(万元),262219,1335321,952449,585924,282464,1169545,856405,519780,240210,2529179,1915519,1586349,571358,1100247,657226,360149,178029,608656,443610,290425,154380,466572,358608,256724,125099,522516,424500,324519,166523,648647,417520,276703,160233,867995,581283,328902,491705,269698,1000797,441305,245666,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,0,0,--,0,0,--,--,
利息收入(万元),30181,671835,143204,319780,44922,647041,55918,329807,11847,990606,237595,523438,71810,388470,127738,148473,34409,197365,50306,74242,10264,115277,41141,53610,12257,108077,50888,50160,16079,91327,35743,45696,10286,79313,14116,30649,92990,15050,84928,10128,19826,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,0,0,--,0,0,--,--,
手续费及佣金收入(万元),179085,793713,575599,364226,166416,847346,631586,418398,216677,1644873,1268578,887024,275923,618149,347510,187393,105653,368005,254350,153498,81090,244238,193745,132066,70135,360367,307792,223607,113688,511046,336386,246963,131834,732625,538404,299125,410291,204306,638173,289354,130805,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,0,0,--,0,0,--,--,
其他业务收入(万元),1933,3810,3108,1913,439,4374,3050,1961,357,2722,720,796,543,3021,1661,768,557,1259,740,436,187,1866,1118,797,227,2475,447,256,91,731,574,359,178,955,502,319,804,443,1438,18520,2019,
营业总成本(万元),128241,624902,439221,275425,120429,530869,372911,238412,105575,1171540,806986,655603,249183,603931,339718,191979,89218,342973,248478,159081,78807,279667,212159,139793,58294,266403,188139,134006,64528,258396,172876,115410,61926,366525,253637,150527,234199,131913,355689,136001,99849,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,0,0,--,0,0,--,--,
利息支出(万元),--,492186,--,224106,--,557510,--,301943,--,728527,--,329673,--,197439,--,72166,--,113769,--,52818,--,58753,--,26950,--,39144,--,17408,--,41567,0,21775,0,54658,--,24238,72346,0,51233,--,9684,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,0,0,--,0,0,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,0,0,--,0,0,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,0,0,--,0,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,0,0,--,0,0,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,0,0,--,0,0,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,0,0,--,0,0,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,0,0,--,0,0,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,0,0,--,0,0,--,--,
其他业务成本(万元),--,--,--,--,--,82,61,41,20,82,61,41,20,82,61,41,20,83,62,41,21,82,61,41,20,235,61,41,20,82,61,41,7,46,35,23,87,52,2,4639,34,
营业税金及附加(万元),2546,9649,7311,4610,2337,41234,38221,35713,26411,166383,128162,95730,21226,58846,34347,20850,10358,35405,26115,16162,7825,24949,19042,12392,6109,27167,23165,17295,8630,29701,18418,13302,7070,40645,30193,16701,28720,18648,40713,20946,10998,
销售费用(万元),124147,611187,427562,267309,116925,482931,341360,210566,86806,982265,677794,560273,227936,477982,305075,170854,78840,307071,222301,142878,70961,254525,193077,127380,52165,238997,164912,116668,55877,228579,154544,102215,54985,326015,223645,134039,205570,113213,313174,110575,87714,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,0,0,0,--,0,0,--,--,
