报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-06-30,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),10115753,6990540,5127400,1841999,7954379,5864755,3611461,1303462,7907836,5471174,3686660,1506838,7800945,5390959,3622060,1610848,7678452,5446348,3608709,1572475,7921493,5649561,3856511,1698021,7707674,5497638,3622034,1623990,6830228,5210673,3371985,1558452,6317586,4600925,3046309,1405673,5779039,4314423,2787180,1293692,5890864,2902071,5683359,4419398,3629221,
营业收入(万元),10115753,6990540,5127400,1841999,7954379,5864755,3611461,1303462,7907836,5471174,3686660,1506838,7800945,5390959,3622060,1610848,7678452,5446348,3608709,1572475,7921493,5649561,3856511,1682708,7707674,5460783,3622034,1610110,6830228,5176228,3371985,1546889,6317586,4578138,3046309,1398931,5779039,4296205,2787180,1287871,5890864,2902071,5683359,4419398,3629221,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15314,--,36855,--,13880,--,34445,--,11563,0,22787,0,6742,--,18218,0,5821,--,0,0,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,--,0,0,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,--,0,0,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,--,0,0,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,--,0,0,--,0,
营业总成本(万元),9732831,6692718,4907698,1753225,7774915,5619606,3459218,1234292,7592582,5148268,3485415,1422340,7518587,5142356,3452987,1518376,7286244,5154566,3397805,1468306,7577390,5328344,3652458,1613498,7289497,5139687,3384451,1509103,6456464,4851946,3161399,1457877,6100445,4352998,2875735,1310228,5575111,4062977,2614706,1213328,5595077,2676889,5339096,4130580,3333746,
营业成本(万元),8015570,5592001,4128368,1460377,6139977,4563431,2817195,997100,6193565,4339971,2938477,1204464,6132175,4338133,2913068,1292179,6076781,4392791,2882960,1232474,6384550,4571384,3140064,1378375,6180928,4378150,2900467,1309477,5505080,4242744,2748259,1279188,5202274,3774106,2510633,1150608,4827469,3640784,2340183,1078323,4815893,2344582,4669243,3582645,2854950,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5314,--,--,--,--,--,--,--,1074,--,7179,--,2440,--,5531,--,1665,0,4223,0,1183,--,3639,0,1207,--,0,0,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,13,--,0,0,--,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,--,0,0,--,0,
