报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2004-12-31,
货币资金(万元),27852800,28764800,30740000,28194900,31021200,27970600,28997700,26954100,31125800,30393600,27817800,29614400,29171500,29722300,29861800,26670500,30629800,27732500,25960400,25811000,22992400,25684500,23616600,21295200,21934748,18247407,18041444,17189895,16063524,13699353,9549160,7933548,7658686,6663149,6150522,5648850,5424395,4542918,4222817,3954528,3976790,4598279,4790359,4858808,4072639,3222422,2749131,2365272,2628818,1962680,1778042,2175970,1910729,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,--,0,--,0,--,--,0,0,--,--,
拆出资金(万元),7293400,8809600,8199700,7764400,5901500,7989200,6451800,6900900,9745000,5017200,6707000,8721200,7663600,10418900,6926700,4636000,4584100,4856700,4458200,4729200,2724100,2283300,3603100,5165800,6542600,1740154,2631962,1845195,844657,803501,887756,714176,847599,781042,531876,501573,536114,841667,799834,983670,923668,587902,972614,556781,264266,481572,273352,717342,336918,474736,510777,328495,269145,
交易性金融资产(万元),14876800,10346000,10489300,7684500,3957500,4132700,4908300,4404400,5717900,1598400,4114800,3706000,1975700,1759700,3724600,4079000,2581100,1480800,2521700,2516500,1042100,1437100,2165400,765300,423745,692544,545960,331377,260790,1654546,115775,202015,--,55406,54314,135241,113205,140818,178539,136392,4144,140365,159664,144379,147763,154713,187328,217129,42736,53638,88909,84759,95961,
衍生金融资产(万元),2146000,2565000,2157400,1939500,1608000,627500,588200,418800,873000,583200,1160300,767600,814400,547100,509000,575800,430000,490400,274000,367500,339700,135800,106000,91300,96666,69130,80298,50787,81058,62209,45154,46464,37173,32030,20161,11058,10000,17361,16235,20025,29075,19546,27901,37415,29182,15933,9253,4010,2276,153,74,573,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,--,0,--,0,--,--,0,0,--,--,
应收账款(万元),--,2283300,5537900,6831900,5288600,2530800,1443900,522600,556800,570400,612200,580300,662400,712000,737400,861300,992500,1049800,1085000,667100,705800,474100,485600,739500,836414,9840278,12310958,15984350,17058901,11035247,2832022,1944632,1372742,1000309,987005,770773,478216,469015,291157,136462,135959,249881,259260,--,0,--,0,--,--,0,0,--,--,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,--,0,--,0,--,--,0,0,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,--,0,--,0,--,--,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,--,0,--,0,--,--,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,--,0,--,0,--,--,0,0,--,--,
应收利息(万元),--,1831200,1842100,1966300,2035400,1872400,1844900,1707100,1577000,1347100,1411600,1441000,1354000,1194400,1126400,1163300,1193700,1113500,1064100,1013800,1004300,979800,916500,945000,875708,816542,855230,840153,727419,555447,301125,287664,212149,224332,200635,195724,162570,166096,171140,194631,160564,148519,151032,144992,112637,85985,75121,83050,67570,0,112716,46171,56449,
