报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),1276900,881300,1167200,1504400,1891200,1413200,1148800,1287400,1451200,1376500,742100,1967900,1591100,1267200,1091900,2618800,3327100,1643100,1329500,2073700,2270100,2480900,2694000,2969200,2276900,1298600,1786300,2674200,1254400,575500,431705,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),657200,632200,699000,531000,1153400,1167800,1838700,1712500,2073400,1362500,1883300,982100,847300,846900,731800,771500,582800,237600,469600,542400,652600,454900,566700,563400,467300,531000,675700,651500,383600,705300,2338769,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保费(万元),425900,233800,422700,388100,290400,184600,294800,300100,262400,152500,275900,254300,276100,154300,264200,259300,309000,158100,277200,255100,293600,155600,244400,230400,221600,139500,198000,97900,74400,55300,40834,
应收分保账款(万元),8300,19800,26300,19300,88200,72000,86900,45500,54800,9500,8200,14300,14200,8000,11300,7100,18700,9200,15400,7100,50300,36400,49800,61000,66000,27400,44800,7600,10500,15700,12964,
应收分保合同准备金(万元),211700,199700,203400,204700,207300,197300,247100,220100,271900,326500,311000,307400,300200,294000,288200,287900,288200,286200,287100,287400,290700,291800,322000,346500,362300,392800,425400,445900,444800,445400,461185,
应收利息(万元),955500,716400,959100,848300,1009300,966400,1186700,927100,902800,975400,1177100,968000,986700,1063900,1219200,968800,930200,984900,1265400,1097400,1012000,1076200,1127600,905000,815400,774100,593700,498600,301400,222300,111622,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),331500,143500,72100,59100,53500,86600,195300,227100,333100,855600,302900,301900,328600,361800,308000,246100,258000,251700,239500,177000,226000,236900,211800,185600,169600,112600,74000,144900,45200,31700,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),91500,91500,91500,91500,81600,81600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71600,71700,71700,71700,71700,71700,52200,52200,24200,24200,24200,24000,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),255500,287000,849400,670600,231900,232200,33500,11500,56000,9100,60500,63000,1800,158400,10500,17100,7400,122200,4000,46800,--,--,--,100000,2600,1900,43000,64000,41100,--,200000,
存货(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1500,--,--,--,--,--,--,
可供出售金融资产(万元),30888700,32038500,31629900,30741200,30259700,28330800,26167300,25899200,23105200,21689700,18168400,20526200,18262200,17550200,15069700,14451600,14144400,12789500,11843900,9723900,9172900,8433500,8436100,8282600,8558600,7287600,7066600,7468900,4940600,3698000,4071060,
持有至到期投资(万元),20788100,20632100,20509200,20584600,19636600,19512600,19573300,19597400,17771800,17750200,17665000,17543000,17562700,17599700,17641700,17666700,17694300,18300800,17498500,17809600,17791500,17681700,16051100,15680000,14438100,14109000,12795600,12201600,10766100,8057500,3782035,
