报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),349371,367928,273368,228704,218252,239086,140909,141419,164205,122213,182287,184306,159021,95095,80123,57739,115351,71409,186506,36540,71947,65414,67392,84235,117142,61985,50118,67347,102090,21581,38836,16721,16412,21137,34606,55265,7732,5385,5777,4017,2291,872,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
交易性金融资产(万元),45,--,225,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
应收票据(万元),59917,57518,42107,53414,57755,51532,76042,71102,72907,22250,32349,42496,53330,56853,55190,28995,35154,29573,26505,18030,16319,19669,21438,9663,14329,4975,4499,1397,1224,2944,5106,1683,5397,2928,2590,157,587,622,519,563,24,228,
应收账款(万元),180004,256439,249149,234029,233506,260611,217696,181735,165894,212597,179689,154849,124005,142602,113892,109166,84605,89124,88376,69533,46301,34995,27297,30901,22376,15345,13833,15182,10518,14560,14392,13203,7926,12796,8341,8360,1199,1354,1278,979,1379,1228,
预付款项(万元),129055,70566,49588,86421,81069,117671,79781,50872,65922,62837,87583,65991,57684,36767,26960,27613,21276,31332,22751,31034,23709,34284,40847,31879,18570,23526,20298,20606,12146,11681,13848,14040,7623,19431,9238,11283,7540,4674,6187,1700,1966,669,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
应收利息(万元),--,--,266,--,348,725,707,--,--,--,0,--,61,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
应收股利(万元),3300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
其他应收款(万元),--,31500,35961,43420,49874,46345,39699,52097,49028,6232,5473,5287,4771,2449,1638,1330,1309,3077,1717,2009,1267,25170,17630,16526,11597,12528,5666,3430,2170,5536,2118,1124,797,691,390,86,90,313,128,76,135,123,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,
